GeneSymbol	EntrezID	logFC	PValue	FDR
RPN1	6184	1.000279506	0.001329881	0.009752659
ELK1	2002	1.001389847	0.000885138	0.00709729
SRPRB	58477	1.008836438	0.000711556	0.005976856
LRRC59	55379	1.014475927	0.001248729	0.00926821
ARHGEF2	9181	1.014800625	0.001303642	0.009606701
TOMM6	100188893	1.017131166	0.000973712	0.007630018
C7orf28B	221960	1.021157908	0.000971054	0.007612789
MRPL37	51253	1.024511463	0.001174396	0.008819143
TM7SF3	51768	1.024604617	0.000763348	0.006306081
NUS1	116150	1.027566066	0.001140358	0.008633215
POLH	5429	1.029880834	0.000472094	0.004339413
WRNIP1	56897	1.031579469	0.000612344	0.005299206
ASF1A	25842	1.032101818	0.000836446	0.006782243
PYGO2	90780	1.034511004	0.001346755	0.009832913
DCTN5	84516	1.03580189	0.001222085	0.009086726
PANX1	24145	1.0407166	0.000980223	0.007670165
ERI3	79033	1.041142611	0.000667813	0.005669649
SEC13	6396	1.051434637	0.001063801	0.008166148
ZNF672	79894	1.063186985	0.000483401	0.004422948
PAK1IP1	55003	1.06391119	0.001340652	0.009809953
FAM49B	51571	1.065347113	0.001165872	0.008771017
NDUFS5	4725	1.066016293	0.00095766	0.007529602
MRPL15	29088	1.066953123	0.000885182	0.00709729
CDC42SE1	56882	1.066956954	0.001221982	0.009086726
C11orf24	53838	1.067254866	0.001311443	0.009651588
ALDH18A1	5832	1.067751479	0.000722474	0.00605017
SRP9	6726	1.068718199	0.000780413	0.006418662
EIF2AK1	27102	1.073546278	0.001037543	0.008012808
TAF11	6882	1.077476494	0.000299186	0.003024879
FDPS	2224	1.079082353	0.001072682	0.008224505
PNP	4860	1.080047668	0.000790867	0.006488549
PTMS	5763	1.080248111	0.001355627	0.009888978
VAV2	7410	1.080626262	0.000230573	0.002490643
BTF3L4	91408	1.081618541	0.000573477	0.005041923
SAPS1	22870	1.084057524	0.00118484	0.008877464
RPS6KB2	6199	1.084386152	0.001143991	0.008636586
CDC123	8872	1.08453866	0.000704652	0.005927872
YIF1B	90522	1.086325606	0.001032154	0.007978624
SHFM1	7979	1.088364453	0.000957719	0.007529602
SOLH	6650	1.090306378	0.000797594	0.006537277
RAN	5901	1.090849245	0.00065638	0.005592724
CEP170	9859	1.096027443	0.001370831	0.009986711
DCAF13	25879	1.097968651	0.00034251	0.003342652
SSBP1	6742	1.099705335	0.000767297	0.006332775
MANF	7873	1.10318197	0.001194675	0.0089415
PARP14	54625	1.103680035	0.000953331	0.007516491
PRPS2	5634	1.1043074	0.000502096	0.004551603
RNF8	9025	1.106234132	0.000773202	0.006375166
COPA	1314	1.107281763	0.000643377	0.005510242
TFG	10342	1.107893677	0.00025667	0.002709605
OAS3	4940	1.108266459	0.001267483	0.009390586
SMC6	79677	1.10968543	0.000188376	0.002109017
ATP6V1C2	245973	1.112408455	0.000315862	0.003147419
COPB2	9276	1.11388455	0.000316781	0.00315468
R3HDM1	23518	1.114330735	0.000133884	0.001616849
KCTD5	54442	1.115718492	0.000311679	0.003122633
MOGS	7841	1.116571842	0.000171294	0.001961484
EHMT2	10919	1.117891739	0.00051927	0.004679358
C19orf63	284361	1.118344445	0.001199068	0.008959775
UBQLN4	56893	1.120225681	0.001142404	0.008636586
VBP1	7411	1.120632083	0.000439503	0.004098651
CDK2	1017	1.121402133	0.001127545	0.008548614
XPO6	23214	1.121460901	0.001159815	0.008734129
RHBDF2	79651	1.123772471	0.000420205	0.003941565
DYNLT1	6993	1.130603146	0.001195004	0.0089415
CAPZA1	829	1.130628039	0.000147182	0.001740669
BOLA2	552900	1.132501478	0.00028315	0.00289988
PPP1CA	5499	1.133794754	0.000514399	0.004650623
ERGIC2	51290	1.134777199	0.000410077	0.003863171
RAG1AP1	55974	1.137786001	0.000284569	0.002909022
CCNC	892	1.139473986	0.000520109	0.004684369
TET3	200424	1.140846537	0.000499294	0.004536328
SNRPD1	6632	1.142681855	0.000944497	0.007475274
GTF3C6	112495	1.145111676	0.000304437	0.003072198
PPARD	5467	1.146116119	6.58e-05	0.000900553
EPRS	2058	1.147398682	0.00094882	0.007495178
BAIAP2L1	55971	1.150113447	0.001298895	0.009584768
RBM8A	9939	1.15141901	0.000711494	0.005976856
UBE2M	9040	1.15309902	0.001108556	0.008435503
MLF2	8079	1.154064754	0.000496093	0.004519627
RAI14	26064	1.155609748	0.000726811	0.006077284
TGIF2	60436	1.156264381	0.000879415	0.007065345
LAPTM4B	55353	1.156457548	0.000824261	0.006699547
MOV10	4343	1.157454207	0.000184603	0.002078356
NUP62	23636	1.160086228	0.000244662	0.002602314
DDX11	1663	1.16405701	0.000629407	0.005415776
SORD	6652	1.164370121	0.00065054	0.005557238
SLC37A1	54020	1.164535596	0.001044471	0.008051314
KDM1B	221656	1.165089987	0.000195808	0.002171696
KIF22	3835	1.166857055	0.000779985	0.00641833
DPP3	10072	1.168121901	0.000262033	0.00274638
ARF1	375	1.168845153	0.000458169	0.004241708
NFYA	4800	1.171624295	0.000335738	0.003292055
DPH2	1802	1.173769608	0.000185586	0.002086239
USP5	8078	1.174420848	0.000642554	0.005508886
TSPAN17	26262	1.176585967	0.001111199	0.008451742
MAP4K2	5871	1.177879731	0.000991128	0.007726323
DSN1	79980	1.181108302	0.000611176	0.005291862
PFDN2	5202	1.181664917	0.000526805	0.004726703
PDCL3	79031	1.18197857	0.000523679	0.004706303
CBFB	865	1.182449459	0.000393416	0.003738498
LRRC16A	55604	1.18261474	0.000500439	0.004539414
MEA1	4201	1.182961215	0.000276572	0.002846581
RUVBL1	8607	1.184645233	0.000498414	0.004533715
ENC1	8507	1.186719506	0.000384309	0.003666417
BAX	581	1.187584134	0.000929023	0.007366872
PYCRL	65263	1.188923956	0.000819106	0.006670255
WHSC1	7468	1.189171671	0.000324631	0.00320972
TTL	150465	1.193210112	0.000553828	0.004913091
SUMO3	6612	1.193506787	0.001072891	0.008224505
SPINT2	10653	1.193740826	0.001315066	0.009669672
RBM38	55544	1.19377647	0.000132525	0.001601605
CFL1	1072	1.19408877	0.000477385	0.004382898
SAE1	10055	1.194692623	0.00090774	0.007253612
MCM5	4174	1.195061102	7.34e-05	0.000991408
SLC25A39	51629	1.196776936	0.000337447	0.003302963
KDELR2	11014	1.196896023	0.000124106	0.001518674
B4GALT3	8703	1.199728848	0.000542868	0.004839409
PDIA5	10954	1.199928559	0.000718686	0.006027585
ARL6IP1	23204	1.200201701	0.001033142	0.007982535
PDIA6	10130	1.201475465	0.000571172	0.005032199
H3F3A	3020	1.20151591	0.00057296	0.005041923
RBM34	23029	1.201780029	0.000379883	0.003632553
LMO4	8543	1.201924207	0.000889599	0.007124891
NHSL1	57224	1.201928126	0.000229341	0.002478947
CMAS	55907	1.20289987	0.000957176	0.007529602
WDR77	79084	1.203338324	0.000104315	0.001317322
OCIAD2	132299	1.203636943	0.000463029	0.004279532
BTN2A2	10385	1.205513442	0.000372006	0.003573856
TTC13	79573	1.206046239	0.00075472	0.006260138
PSMB4	5692	1.207214635	0.000359284	0.003479725
C11orf48	79081	1.207983277	0.001178534	0.008838207
GARS	2617	1.208953223	0.000289828	0.002946303
GEN1	348654	1.211555408	0.000863861	0.006970156
DCUN1D5	84259	1.211939553	0.000454468	0.004209791
POLA2	23649	1.213658148	0.000460396	0.004259951
RRM1	6240	1.213912153	0.000170824	0.001957449
DNMT1	1786	1.215525651	0.000237707	0.002549425
SCNM1	79005	1.216605863	0.000708771	0.005959498
ENTPD7	57089	1.217579588	0.000691108	0.005825755
SERPINB9	5272	1.219290577	0.000970089	0.007611742
DAP	1611	1.221647173	0.000231691	0.002499455
PSMD2	5708	1.222356073	0.001079697	0.008265212
PPM1G	5496	1.224701176	0.000145626	0.001728432
FAM162A	26355	1.225396019	0.000181444	0.002054246
ABCC1	4363	1.226614816	0.000223175	0.002417022
KRAS	3845	1.228558118	0.000334907	0.003292055
ANKS6	203286	1.228761288	0.001023012	0.007919029
MRPL36	64979	1.230896172	0.001278183	0.009457188
HN1L	90861	1.231722581	0.000256727	0.002709605
CBX4	8535	1.231887441	0.001002421	0.007792378
GPR89A	653519	1.233999871	0.000511669	0.004628467
MGAT4B	11282	1.235481605	0.000385345	0.003674185
TMEM48	55706	1.2363828	0.001085052	0.00829472
PKP3	11187	1.237545279	0.00030642	0.00308298
ZDHHC13	54503	1.240064655	0.00072436	0.006059844
MRPL17	63875	1.240604888	0.000153626	0.001803364
PDK1	5163	1.241600032	0.000313832	0.003135363
PFN1	5216	1.243263904	0.000259328	0.002724921
PGK1	5230	1.243924085	0.000576492	0.005051473
RUSC1	23623	1.243937098	9.84e-05	0.001257876
ATF5	22809	1.244140299	0.000410291	0.003863171
IFI44	10561	1.245989327	0.000949453	0.007496613
CKAP5	9793	1.246068411	0.000258319	0.00271948
SNRNP25	79622	1.246084702	0.000720944	0.006040412
HPRT1	3251	1.246703948	0.000402561	0.003803343
EZR	7430	1.247492964	0.001048572	0.008075416
LPAR2	9170	1.24782814	0.000904333	0.007229867
NIPSNAP1	8508	1.250318012	0.000140861	0.001686368
IDH2	3418	1.254333177	0.000158866	0.001845942
ALG6	29929	1.254611425	0.000287681	0.0029318
RFC2	5982	1.255400528	0.000289993	0.002946303
