SYMBOL	GSM1480291_LVirgin	GSM1480292_LVirgin	GSM1480293_LPregnant	GSM1480294_LPregnant	GSM1480295_LLactate	GSM1480296_LLactate	GSM1480297_BVirgin	GSM1480298_BVirgin	GSM1480299_BPregnant	GSM1480300_BPregnant	GSM1480301_BLactate	GSM1480302_BLactate
Plb1	1776	1785	1283	838	45	15	76	81	78	53	24	18
Plaur	3323	4265	3154	4339	635	436	3198	4328	1792	2395	2111	1487
Plau	674	1044	356	466	55	60	2435	2329	1523	2080	1587	1699
Platr9	0	0	0	0	1	0	1	2	0	0	1	0
Platr8	1	4	1	0	0	0	1	3	1	0	4	0
Platr7	0	0	0	0	0	0	1	0	1	0	0	0
Platr5	0	2	0	0	0	1	0	0	0	1	0	0
Platr4	2	3	2	3	3	6	1	3	1	8	2	1
Platr30	0	0	0	0	0	0	0	0	0	0	0	0
Platr26	0	0	0	0	0	0	0	1	1	1	1	3
Platr25	22	13	2	3	8	3	19	29	8	6	7	5
Platr22	1	2	0	0	0	0	3	2	6	12	14	10
Platr21	0	0	1	2	0	0	0	0	0	0	0	0
Platr17	4	7	0	1	0	3	0	3	3	1	3	1
Platr14	1	0	0	2	0	0	0	1	0	1	0	0
Platr10	0	0	0	0	0	0	0	0	0	0	0	0
Plat	205	266	36	42	35	21	6658	4920	490	718	714	840
Plagl2	814	788	278	229	152	160	510	444	189	158	105	110
Plagl1	883	818	116	69	126	146	1191	928	819	834	635	640
Plag1	65	56	10	6	5	6	19	11	9	3	13	9
Plac9b	0	0	0	0	0	0	0	0	0	0	0	0
Plac9a	14	25	1	2	3	1	35	62	34	49	138	104
Plac8l1	1	2	0	0	0	0	1	0	2	0	0	0
Plac8	1293	1091	22	12	31	21	32	23	9	6	9	4
Plac1	11	6	11	10	0	0	0	0	0	1	0	0
Plaa	1255	1343	1117	1121	579	523	980	912	1003	896	727	708
Pla2r1	12	17	8	4	0	4	449	566	787	930	946	882
Pla2g7	15	15	5	8	1	4	901	1256	1075	1279	1102	1091
Pla2g6	464	602	675	696	531	506	373	323	334	291	224	260
Pla2g5	36	25	1	2	1	1	0	1	2	1	0	1
Pla2g4f	4	10	87	36	110	156	23	12	12	9	6	9
Pla2g4e	32	43	64	47	14	14	2	3	9	1	1	0
Pla2g4d	2	2	19	28	12	11	0	2	2	1	0	1
Pla2g4c	88	73	30	16	21	19	33	25	13	17	15	8
Pla2g4b	210	259	120	151	39	66	242	222	188	125	181	147
Pla2g4a	1262	949	304	239	222	279	516	484	257	235	374	315
Pla2g3	4	17	5	7	0	0	15	19	16	15	8	7
Pla2g2f	0	0	0	0	1	0	2	0	0	0	0	0
Pla2g2e	0	1	1	0	0	0	0	1	0	0	0	1
Pla2g2d	7	6	4	6	1	0	2	1	1	0	0	0
Pla2g2c	0	1	0	1	0	0	0	0	0	0	0	0
Pla2g2a	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g1b	1	4	1	0	1	1	0	0	0	0	1	0
Pla2g16	1460	1453	1162	1143	1228	1245	625	614	448	505	172	175
Pla2g15	60	68	162	250	528	636	132	79	77	68	76	103
Pla2g12b	1	0	1	2	0	1	0	0	2	1	1	1
Pla2g12a	284	266	552	463	403	386	173	142	98	71	40	38
Pla2g10os	0	0	0	0	0	0	0	0	0	0	0	0
Pla2g10	0	2	0	0	1	0	1	0	0	0	1	0
Pla1a	8	21	21	32	13	11	30	35	55	69	45	39
Pkp4	2282	2426	1319	1034	678	591	3850	4003	5633	4123	4577	4490
Pkp3	2901	4016	3473	3220	610	519	4312	4202	5865	5576	6782	6641
Pkp2	1356	1490	1763	1655	818	718	52	37	95	60	5	7
Pkp1	1169	1512	112	153	26	22	6944	7697	6304	7997	6099	4987
Pknox2	47	39	7	6	11	12	701	832	887	918	870	937
Pknox1	478	562	365	342	217	202	858	780	973	740	518	500
Pkn3	162	193	147	140	131	141	330	267	145	108	71	67
Pkn2	2593	2879	2935	2889	1101	1030	3392	3457	3818	3058	3242	2705
Pkn1	1679	1701	2085	2024	1512	1657	693	550	436	364	328	330
Pkmyt1	422	517	534	339	482	475	436	318	430	438	332	406
Pkm	12122	13018	10407	11178	11070	11257	11688	11163	13644	12309	11207	10715
Pklr	0	0	0	0	0	0	0	1	0	2	1	0
Pkig	1230	1027	458	335	206	179	326	245	197	204	193	173
Pkib	65	86	0	1	0	0	2	4	2	0	0	1
Pkia	216	183	122	177	17	23	1088	1020	440	598	932	874
Pkhd1l1	16	21	0	6	4	6	23	16	4	4	3	1
Pkhd1	14	22	3	0	0	0	0	0	0	0	0	1
Pkdrej	1	1	1	0	0	2	4	4	19	9	7	13
Pkdcc	83	85	65	35	24	29	229	210	159	117	120	104
Pkd2l2	315	316	235	173	25	23	364	312	448	442	599	529
Pkd2l1	4	15	34	33	147	203	3	0	3	0	2	2
Pkd2	486	509	368	360	162	184	2563	2262	2875	3082	3206	2939
Pkd1l3	74	72	23	37	18	16	108	82	88	67	76	55
Pkd1l2	4	4	0	0	1	1	3	1	0	0	0	0
Pkd1l1	1	1	8	7	0	1	8	6	10	12	2	7
Pkd1	1529	1444	628	577	456	557	5930	4723	4783	4599	7106	6331
Pja2	1118	1218	1023	974	759	760	1834	1652	2367	2594	3428	3217
Pja1	1073	1237	1351	1173	521	558	1911	2106	2688	2524	1843	1799
Piwil4	4	2	12	13	9	7	9	9	17	9	10	9
Piwil2	32	57	24	50	4	8	446	470	546	538	495	455
Piwil1	0	0	0	0	0	0	0	0	1	0	0	1
Pitx3	0	0	3	0	0	0	16	7	14	3	4	10
Pitx2	0	0	0	1	0	0	2	1	4	1	1	5
Pitx1	0	2	0	0	0	0	0	0	2	0	0	0
Pitrm1	1862	2065	1475	1312	605	597	2376	2563	2036	1732	1524	1410
Pitpnm3	697	678	405	463	284	303	201	265	337	539	710	756
Pitpnm2os2	0	0	0	0	0	0	0	0	0	0	0	0
Pitpnm2os1	0	0	0	0	0	0	0	0	0	0	0	0
Pitpnm2	1157	1378	398	276	127	149	830	655	324	242	194	207
Pitpnm1	1825	1931	1767	1617	614	666	1580	1216	1358	1181	941	983
Pitpnc1	679	729	622	563	489	533	702	888	1047	991	1074	1185
Pitpnb	2244	2452	2481	2204	1239	1342	2437	2289	3328	2948	2411	2065
Pitpna	3737	4487	4999	4712	2743	2833	3460	3384	4474	3862	4700	3720
Pithd1	863	995	791	585	321	312	735	741	564	456	470	438
Pisd-ps3	0	0	0	0	0	0	0	0	0	0	0	0
Pisd-ps2	143	159	112	117	67	78	75	38	55	39	38	44
Pisd-ps1	309	315	234	213	108	117	81	67	78	54	80	75
Pisd	1206	1263	1359	1142	593	663	733	672	523	398	226	240
Pirt	0	0	0	0	0	0	0	0	0	2	2	4
Pirb	3	3	1	0	0	0	0	0	0	0	0	1
Pira6	2	2	0	0	0	1	0	0	0	0	0	0
Pira2	0	1	0	0	0	0	0	0	0	0	0	0
Pira1	0	1	2	0	0	1	0	4	0	0	0	0
Pir	185	190	3	6	4	7	82	131	33	59	178	179
Pipox	12	21	67	88	38	38	24	26	20	18	16	11
Pip5kl1	11	14	4	12	4	2	45	68	48	30	25	16
Pip5k1c	2989	3425	2875	3096	1285	1229	1561	1379	1839	1594	1732	1813
Pip5k1b	185	265	156	126	205	229	16	16	13	13	2	10
Pip5k1a	1335	1502	1126	1131	427	427	1073	1018	945	760	717	722
Pip4k2c	3123	3391	2293	2162	1395	1528	2586	2096	1705	1595	1916	1856
Pip4k2b	562	580	414	391	367	411	809	683	519	428	557	523
Pip4k2a	177	123	61	71	31	31	541	460	663	798	935	792
Pip	0	0	1	0	25	26	0	0	0	0	0	0
Pinx1	210	159	95	103	58	62	150	109	157	117	131	109
Pinlyp	0	2	1	0	1	0	37	17	5	1	3	5
Pink1	1534	1813	1864	2008	1272	1269	3147	2765	2934	3657	5011	4883
Pinc	107	121	114	157	221	219	64	83	101	87	93	79
Pin4	29	33	19	24	15	13	18	11	18	16	15	15
Pin1rt1	50	53	43	24	30	26	41	41	59	40	39	46
Pin1	665	691	494	379	376	430	756	640	788	658	519	507
Pim3	4487	4898	7330	6969	5333	6743	5166	4614	8423	5856	5755	6056
Pim2	192	288	221	203	77	71	594	423	298	190	226	198
Pim1	3644	3497	2074	2551	1439	1593	2563	3537	4229	3896	3947	2459
Pilrb2	1	3	18	22	10	7	9	11	1	0	0	1
Pilrb1	4	7	32	46	20	15	19	17	1	3	1	0
Pilra	3	4	1	4	8	6	1	1	3	6	4	3
Pikfyve	557	550	362	334	576	660	670	534	468	453	642	626
Pik3r6	2	11	1	2	8	13	24	20	7	6	13	7
Pik3r5	8	6	8	6	2	2	24	23	21	20	4	6
Pik3r4	534	511	344	282	208	211	465	360	340	336	396	464
Pik3r3	706	637	951	818	566	549	1818	1641	1500	984	1477	1101
Pik3r2	832	859	549	480	217	264	1384	1141	2423	2232	2586	2803
Pik3r1	4029	4819	5414	4723	6020	5889	6223	5132	8204	8509	12718	11229
Pik3ip1	256	191	50	67	31	17	439	384	351	276	284	357
Pik3cg	418	575	13	8	8	6	5	16	1	7	0	2
Pik3cd	23	36	7	6	13	13	56	57	23	36	59	43
Pik3cb	1132	1312	1198	1236	467	503	764	657	497	412	309	383
Pik3ca	1492	1463	1121	1075	649	524	2166	1974	1802	1512	2034	2053
Pik3c3	426	403	332	292	237	165	432	248	227	229	244	373
Pik3c2g	350	337	114	102	154	125	7	0	11	1	1	2
Pik3c2b	617	587	434	486	587	694	603	388	459	374	628	670
Pik3c2a	2642	2481	2973	3178	1131	1208	1759	1971	2644	2691	2728	2343
Pik3ap1	286	356	597	236	12	4	11	19	37	8	2	0
Pih1h3b	0	0	0	0	0	0	0	0	1	0	0	0
Pih1d3	0	0	0	0	0	0	0	0	0	0	0	0
Pih1d2	34	23	28	29	38	32	20	26	14	11	11	9
Pih1d1	518	602	572	460	321	302	573	482	513	456	455	379
Pigz	2	4	12	1	0	1	0	0	3	0	0	0
Pigyl	201	204	171	142	147	163	96	56	139	109	106	116
Pigx	465	470	297	295	130	167	307	272	257	224	229	261
Pigw	127	110	94	59	58	60	163	207	173	150	80	68
Pigv	136	178	91	82	91	73	79	59	103	116	109	115
Pigu	517	648	422	353	237	216	503	393	430	405	400	389
Pigt	2587	2902	2407	2162	1212	1218	2305	1964	1810	1465	1042	1062
Pigs	760	836	816	669	520	483	615	571	602	603	524	529
Pigr	426	737	17003	13102	28548	30048	16	14	955	454	692	603
Pigq	909	1017	1114	968	1143	1210	816	632	677	561	554	591
Pigp	242	223	105	101	42	58	199	196	210	249	276	277
Pigo	839	950	954	860	666	565	542	451	581	473	506	524
Pign	1180	1139	546	542	402	428	1082	1136	895	795	757	687
Pigm	1096	1015	995	919	404	421	771	655	822	650	408	379
Pigl	145	138	99	119	76	76	41	46	49	54	41	41
Pigk	903	777	619	595	537	586	1027	878	1007	1045	849	795
Pigh	187	182	77	54	59	42	110	95	130	173	144	166
Pigg	417	411	354	324	410	381	250	265	338	304	260	261
Pigf	181	149	102	83	65	58	199	144	185	133	104	96
Pigc	261	271	169	175	236	215	130	120	122	123	143	180
Pigb	162	163	137	122	120	137	113	103	84	75	61	61
Piga	319	343	180	158	144	138	445	369	534	495	565	503
Pifo	1	1	0	0	0	0	0	0	0	0	0	0
Pif1	17	20	28	12	44	38	41	31	34	22	16	8
Piezo2	2339	2658	23	10	11	9	40	55	51	26	80	83
Piezo1	6370	6648	4349	4043	4190	5225	1717	1803	1566	1406	837	757
Pidd1	190	161	96	42	83	90	100	101	97	70	57	91
Pid1	3	5	0	2	0	0	39	38	74	86	93	87
Pick1	752	942	854	744	697	659	530	455	359	259	211	206
Picalm	2225	2164	1070	968	307	318	2576	3047	5633	5132	5153	4398
Pibf1	282	289	150	151	70	79	328	296	346	289	233	231
Pias4	365	464	320	278	168	160	271	223	267	244	203	237
Pias3	364	382	224	169	112	109	638	446	616	535	656	675
Pias2	1442	1526	1321	1097	620	575	1492	1433	1364	1203	1204	1129
Pias1	710	872	1055	898	401	390	819	668	807	686	668	637
Pianp	381	403	13	7	7	6	1930	1948	1765	1683	1158	1274
Pi4kb	966	977	878	787	555	505	1065	951	923	864	962	945
Pi4ka	1799	1700	1206	1169	1221	1283	1812	1685	1760	1630	1639	1426
Pi4k2b	1041	1255	999	911	737	646	773	836	491	398	367	369
Pi4k2a	2392	2868	2999	2731	1263	1086	2963	3482	3797	3506	2514	1906
Pi16	30	88	17	16	12	21	93	126	53	42	35	54
Pi15	11	10	4	1	2	2	122	234	170	273	112	76
Phykpl	343	285	224	209	134	139	414	352	285	310	244	263
Phyhipl	5	6	1	3	0	1	16	21	18	23	7	9
Phyhip	5	7	5	2	1	3	471	334	849	618	1108	1331
Phyhd1	231	329	239	193	59	52	187	213	118	117	90	91
Phyh	1713	1953	192	185	240	241	236	280	328	423	274	261
Phxr4	0	0	0	0	0	0	0	0	0	0	1	0
Phxr1	0	1	0	2	0	1	0	2	0	1	0	2
Phtf2	412	415	401	369	361	426	560	544	661	467	509	527
Phtf1os	3	2	6	1	1	2	5	6	2	7	1	2
Phtf1	374	325	155	158	125	142	630	479	422	495	506	496
Phrf1	2583	2749	1844	1868	735	916	2188	2011	1541	1247	1021	1095
Phpt1	770	954	874	782	372	392	787	858	1241	1108	662	658
Phox2b	0	0	0	0	0	0	0	0	0	0	0	0
Phox2a	0	4	2	1	0	0	24	16	8	13	3	4
Phospho2	212	203	151	137	82	93	174	152	116	116	149	162
Phospho1	1	2	0	1	0	3	24	26	47	42	34	24
Phlpp2	704	767	563	546	292	286	954	969	737	493	483	472
Phlpp1	1613	1680	1096	1130	601	505	1088	1173	1307	1137	1134	1128
Phldb3	423	571	603	613	94	73	224	167	78	74	52	101
Phldb2	479	351	266	288	75	77	1131	1182	898	827	859	1075
Phldb1	514	646	239	413	2015	2943	6935	4441	4109	3595	4282	4422
Phlda3	273	296	92	77	20	14	1930	2056	3107	2855	2077	1869
Phlda2	78	62	31	35	6	8	105	98	227	290	184	138
Phlda1	4446	7478	9097	7798	488	482	3743	4823	3856	2773	1305	1396
Phkg2	339	372	361	344	160	161	341	334	333	223	220	266
Phkg1	2	3	5	2	5	0	11	11	12	6	5	6
Phkb	1784	1735	799	868	599	584	1335	1369	2123	2105	2119	1825
Phka2	412	539	346	347	204	224	520	560	412	489	620	708
Phka1	589	657	372	318	345	316	589	520	718	710	672	643
Phip	1848	1588	1584	1401	1450	1552	2452	2056	2053	1963	2234	2206
Phgr1	0	0	0	0	0	0	0	2	0	0	0	0
Phgdh	1033	1031	2243	1640	584	436	532	392	782	570	323	347
Phf8	1067	1122	1320	1418	528	452	889	1026	1605	1512	1154	903
Phf7	78	110	110	110	52	53	109	106	106	144	151	153
Phf6	445	500	246	211	151	147	593	572	825	579	532	493
Phf5a	727	732	787	567	560	496	725	602	644	519	357	346
Phf3	2611	2740	1825	1709	802	776	2798	2504	1902	1740	2231	2194
Phf24	1	1	0	0	1	0	15	13	25	26	29	21
Phf23	1203	1267	1124	1130	354	389	2450	1971	1667	1471	1787	1771
Phf21b	41	45	4	6	7	5	17	10	6	10	7	6
Phf21a	1101	1271	606	580	317	334	1283	1360	1228	1214	1502	1635
Phf20l1	1577	1548	1623	1591	1494	1633	1504	1645	1574	1286	1466	1458
Phf20	983	918	664	626	358	403	713	598	802	592	581	554
Phf2	2057	2117	1610	1430	1041	1039	2325	2138	2031	1850	2074	2151
Phf19	128	95	69	45	352	396	137	126	87	97	43	63
Phf14	1072	1025	636	604	361	421	1088	938	954	944	975	948
Phf13	1629	1757	1144	1077	293	239	3297	2146	1514	1503	2009	2443
Phf12	1166	1197	786	739	479	573	1638	1299	1406	1196	1284	1530
Phf11d	250	259	61	71	15	13	73	99	43	29	45	43
Phf11c	71	67	27	11	24	22	26	25	27	21	21	18
Phf11b	26	18	3	9	3	2	11	7	6	8	9	2
Phf11a	22	20	4	3	2	2	9	11	4	4	3	2
Phf10	848	994	1064	812	455	485	2184	2302	2665	2280	1827	1463
Phf1	1225	1425	783	804	254	342	1502	1266	1165	1028	1173	1335
Phex	1	1	0	1	0	0	8	6	3	0	1	0
Phc3	2581	2293	980	1179	1592	1803	1922	1561	1150	1288	2061	2038
Phc2	2445	3186	2465	1879	490	418	2185	2393	2806	2272	1543	1386
Phc1	652	652	371	280	168	182	1540	1227	1154	944	896	980
Phb2	3949	4225	3860	2950	1586	1822	2643	2446	2564	2100	1312	1350
Phb	1159	1211	1260	923	755	724	938	718	1078	849	555	494
Phax	730	685	435	357	104	138	742	804	825	754	613	609
Phactr4	2005	2382	2026	2154	600	545	1240	1090	1293	1006	866	853
Phactr3	6	9	23	12	0	0	5	0	3	1	1	1
Phactr2	446	402	166	206	59	60	1035	1110	909	1048	1429	1351
Phactr1	116	161	308	384	749	753	58	59	44	42	58	67
Pgs1	1061	1198	1269	1099	1393	1507	981	903	946	877	790	715
Pgrmc2	920	966	912	791	712	745	1517	1366	1704	1663	1455	1380
Pgrmc1	3654	3751	2160	2074	834	788	5466	5116	5601	4753	4689	4248
Pgr15l	0	1	0	1	0	0	0	0	0	0	0	0
Pgr	2033	3320	152	124	44	39	399	353	535	511	636	608
Pgpep1l	0	0	0	0	0	0	0	2	1	2	0	2
Pgpep1	1004	992	541	586	239	289	538	547	537	425	365	367
Pgp	406	588	1083	753	1116	1321	256	223	362	310	182	231
Pgm5	606	578	51	47	63	78	3224	3351	16500	20012	23973	19680
Pgm3	425	387	365	307	391	398	184	132	143	145	118	94
Pgm2l1	321	358	373	402	193	203	484	434	465	320	254	229
Pgm2	837	811	1085	890	645	585	777	677	1250	1131	929	781
Pgm1	1280	1442	718	706	808	933	968	1255	699	771	706	462
Pglyrp4	1	0	0	0	0	0	0	0	0	0	0	0
Pglyrp3	0	0	0	0	0	0	0	0	0	0	0	0
Pglyrp2	9	4	3	4	0	0	21	5	2	1	1	0
Pglyrp1	110	134	435	577	353	270	10	20	34	19	11	13
Pgls	193	257	221	200	132	115	134	134	122	107	91	67
Pgk2	0	0	0	0	0	0	0	0	0	0	0	0
Pgk1	2507	2709	3237	2977	2533	2252	2425	2144	3595	2787	2212	1805
Pggt1b	834	851	583	563	345	430	541	459	464	401	367	404
Pgghg	608	768	363	323	203	206	485	486	537	536	506	480
Pgf	86	78	13	13	7	7	1478	863	2028	1890	1467	1599
Pgd	2781	3364	5943	5427	6811	7736	1640	1267	1311	1121	992	959
Pgc	0	0	0	0	0	0	0	0	0	0	0	0
Pgbd5	2	2	0	0	0	1	4	7	1	3	1	1
Pgbd1	57	64	15	16	14	17	97	105	170	186	220	239
Pgap3	654	683	413	393	146	139	196	128	147	137	152	145
Pgap2	528	522	513	480	667	772	273	287	275	260	240	251
Pgap1	307	315	90	93	69	77	232	242	238	240	229	231
Pgam5	667	733	525	384	442	525	450	382	357	288	209	216
Pgam2	34	51	29	30	20	19	12	24	46	43	30	20
Pgam1	642	641	636	567	637	668	857	823	1038	894	569	505
Pga5	0	0	0	0	0	0	1	0	0	0	0	2
Pfpl	1	0	0	0	0	0	0	0	0	0	0	0
Pfn4	1	5	2	3	2	0	5	1	4	1	0	0
Pfn3	0	0	0	0	0	0	0	0	0	0	0	0
Pfn2	341	256	205	178	46	52	240	172	273	207	177	189
Pfn1	6219	7119	7442	7034	2421	2376	8059	6728	16560	15039	11972	10438
Pfkp	1115	1091	664	554	161	167	4212	3870	4925	5201	5389	4918
Pfkm	554	614	613	613	366	406	873	901	1176	1196	1239	1302
Pfkl	2706	2853	8521	6698	6292	7673	3074	2371	4852	3772	2638	2558
Pfkfb4	189	214	24	23	16	30	419	281	204	148	141	127
Pfkfb3	13783	15338	15226	15252	7072	6340	2203	2787	3229	3675	3040	2517
Pfkfb2	2466	2280	3457	3587	1821	1848	984	1039	1418	1216	1000	909
Pfkfb1	19	24	29	18	14	14	35	53	124	135	92	58
Pfdn6	666	651	504	403	309	289	463	335	365	314	262	251
Pfdn5	1937	1739	1076	971	566	514	1406	1670	1189	1268	1099	1060
Pfdn4	398	394	462	374	172	174	444	485	645	519	324	312
Pfdn2	780	789	500	513	210	221	596	641	682	526	315	267
Pfdn1	968	1056	900	988	544	498	435	430	409	328	281	264
Pfas	735	690	317	208	321	329	553	430	267	194	139	174
Pf4	0	1	1	2	1	1	0	3	6	1	10	5
Pex7	403	424	286	261	231	237	265	304	267	253	278	282
Pex6	1122	1365	820	785	397	448	1157	899	784	732	757	822
Pex5l	1	6	1	0	0	0	16	26	34	31	9	10
Pex5	1909	1962	2548	2194	1375	1391	1461	1897	2631	2200	1352	1156
Pex3	362	420	356	274	242	272	345	314	321	291	234	325
Pex26	389	463	362	356	706	945	340	272	321	266	322	319
Pex2	552	516	565	503	478	508	321	248	207	225	222	288
Pex19	1088	1243	773	788	656	660	1032	998	1217	1247	1197	1126
Pex16	463	510	450	403	388	460	264	185	250	210	195	206
Pex14	780	846	772	545	435	460	643	498	716	635	572	573
Pex13	581	605	762	693	532	494	460	455	513	475	443	395
Pex12	168	186	124	108	108	113	161	139	122	86	105	97
Pex11g	130	171	226	235	177	182	55	45	48	42	74	65
Pex11b	357	353	265	192	216	220	498	318	315	258	292	318
Pex11a	14	14	21	28	29	35	5	5	19	12	4	5
Pex10	169	198	215	201	201	211	97	105	95	119	106	105
Pex1	358	475	431	395	268	313	323	264	324	230	237	282
Pet2	0	0	0	0	0	0	0	0	0	0	0	0
Pet117	0	0	0	0	0	0	0	0	0	0	0	0
Pet100	361	341	235	240	166	138	147	147	140	142	154	139
Pes1	1275	1224	1290	989	529	553	1026	870	958	756	453	467
Perp	1664	1874	838	837	533	559	8521	8269	18264	19336	21324	18032
Perm1	145	224	203	155	106	110	65	59	55	59	53	52
Per3	484	462	354	284	260	254	159	378	426	253	183	161
Per2	6203	6736	3180	3589	913	906	1450	1844	2391	2594	3677	3608
Per1	13133	13042	8908	8193	4141	3890	8626	8339	8310	5502	3822	4883
Pepd	918	1133	1132	893	459	491	683	573	728	635	495	439
Peo1	664	832	362	328	161	158	830	533	495	303	270	312
Penk	9	9	8	23	9	4	76	179	225	142	48	31
Pemt	92	79	84	77	103	92	71	53	74	46	30	26
Pelp1	1080	1062	947	609	498	533	1083	789	787	595	460	432
Pelo	120	145	257	269	205	176	287	291	446	389	285	265
Peli3	37	39	26	19	7	7	74	71	57	51	113	152
Peli2	275	296	250	367	61	54	423	542	511	542	632	664
Peli1	1479	1360	1093	981	438	427	2878	2425	2621	2169	2129	1908
Peg3os	0	0	0	0	0	0	0	0	0	0	0	0
Peg3	586	704	706	912	469	345	1232	1192	720	675	1267	1298
Peg13	465	545	172	168	69	64	714	689	1053	861	951	1106
Peg12	18	18	1	0	0	1	56	24	39	31	20	12
Peg10	30	33	50	80	6	7	80	62	19	35	14	30
Pef1	914	885	1097	913	500	463	1042	653	770	816	1022	1004
Pecr	196	152	237	207	225	200	303	218	279	267	122	159
Pecam1	489	848	124	106	94	98	2237	3374	619	806	536	618
Pebp4	0	0	2	1	0	0	0	1	1	0	0	0
Pebp1	2061	1959	2369	2437	1294	1132	1976	1553	2078	1890	1156	982
Pear1	58	74	14	14	9	8	258	286	210	202	109	142
Peak1	3606	3411	477	341	169	175	1265	1212	1166	929	772	688
Pea15b	0	0	0	0	0	0	0	0	0	0	0	0
Pea15a	758	948	690	633	331	330	695	615	696	629	895	879
Pdzrn4	1	0	1	0	1	0	2	0	0	0	0	1
Pdzrn3	932	1211	2377	1796	372	353	1277	1118	420	339	88	168
Pdzph1	0	0	0	0	0	0	1	0	0	0	0	0
Pdzk1ip1	201	243	191	179	112	106	4	3	4	5	7	2
Pdzk1	143	147	118	91	97	113	106	77	76	69	84	56
Pdzd9	0	2	0	1	1	0	0	1	1	1	1	3
Pdzd8	1669	1649	1398	1119	850	894	2906	3119	3080	2386	1931	1797
Pdzd7	108	138	206	129	46	52	198	164	439	375	707	662
Pdzd4	61	72	12	19	20	22	321	204	238	250	242	245
Pdzd3	9	11	3	5	3	3	54	28	42	42	340	385
Pdzd2	630	660	201	158	171	194	1192	1551	840	972	761	929
Pdzd11	414	447	569	528	475	451	334	281	429	452	388	381
Pdyn	0	0	0	0	0	0	0	0	0	0	0	0
Pdxp	30	33	14	12	25	30	113	79	94	81	59	55
Pdxk-ps	1	6	1	0	0	2	0	1	0	0	1	1
Pdxk	3046	3310	6880	6278	2447	2559	1090	1000	1928	1198	797	643
Pdxdc1	1995	2207	2220	1794	1472	1420	2472	2201	2229	2176	2479	2194
Pdx1	0	0	0	0	0	0	0	0	0	0	0	0
Pdss2	127	157	156	137	90	105	196	139	198	221	182	176
Pdss1	120	142	135	99	95	105	173	122	108	98	71	49
Pds5b	950	1024	740	636	1694	1553	1813	1689	1686	1269	1189	1182
Pds5a	2264	2365	2321	1837	1449	1549	1981	1610	1651	1396	1423	1309
Pdrg1	1056	1228	794	659	378	347	459	417	495	441	320	365
Pdpr	208	222	235	209	153	172	224	195	240	260	286	286
Pdpn	31	20	10	14	3	8	3311	3261	5493	5650	2978	2156
Pdpk1	1686	1931	1750	1538	947	834	1419	1313	1543	1414	1384	1210
Pdp2	92	82	28	14	158	162	204	110	74	45	148	158
Pdp1	449	471	453	380	53	51	352	358	416	285	256	252
Pdlim7	1091	1427	706	734	83	103	9340	8026	10026	9198	8220	7908
Pdlim5	2789	3437	3798	3956	1026	958	2519	3042	3918	3124	2239	1762
Pdlim4	536	657	116	116	187	192	3255	2520	3269	3197	4551	4407
Pdlim3	2627	2160	687	457	24	34	7459	5979	16045	16675	15121	15000
Pdlim2	393	436	23	43	24	30	91	54	16	32	52	67
Pdlim1	1792	1929	1607	1541	508	428	1242	1389	468	449	244	272
Pdk4	5340	7490	12746	24174	736	637	9281	12483	17782	19347	6146	6329
Pdk3	246	234	92	77	28	20	557	576	735	610	506	449
Pdk2	484	490	779	653	628	643	347	337	444	449	422	520
Pdk1	748	696	598	623	860	958	509	477	571	550	641	515
Pdilt	0	0	0	0	0	0	0	0	0	0	0	0
Pdik1l	178	137	198	152	113	120	156	152	102	92	113	93
Pdia6	6030	6875	6104	4976	4560	4542	6550	5584	4511	3507	2490	2186
Pdia5	180	173	142	100	67	65	329	353	214	209	98	99
Pdia4	2166	2203	2326	1599	1534	1714	3708	2554	2727	2076	1631	1616
Pdia3	15566	16858	15627	12388	6533	6636	18154	15089	14300	11437	8381	7462
Pdia2	4	7	2	4	1	1	1	5	3	1	0	0
Pdhx	476	436	559	374	845	895	368	335	448	349	298	327
Pdhb	1223	1275	3294	3092	4439	4615	1239	1093	1490	1194	885	821
Pdha2	0	0	0	0	0	0	0	0	0	0	0	0
Pdha1	3208	3624	7581	7365	4777	5027	3021	2691	4338	4027	3917	3414
Pdgfrl	155	137	35	20	14	10	985	1182	759	670	328	430
Pdgfrb	35	73	9	16	21	8	576	766	418	506	481	366
Pdgfra	94	125	23	14	12	18	89	134	74	71	27	22
Pdgfd	31	47	248	354	479	456	68	70	48	62	28	32
Pdgfc	1776	1415	1078	1215	294	298	2998	3667	4076	3512	2054	2478
Pdgfb	2767	2621	2254	2637	282	177	5000	3100	3740	3417	1507	1134
Pdgfa	351	354	267	336	34	68	1102	856	1999	1681	1596	1439
Pdf	408	393	476	319	345	395	331	289	273	211	235	236
Pde9a	738	719	585	367	142	179	96	67	36	25	7	9
Pde8b	19	36	16	24	6	3	11	22	17	15	35	15
Pde8a	48	49	41	49	127	120	98	135	84	96	116	119
Pde7b	298	246	5	21	13	25	133	194	125	152	256	193
Pde7a	632	538	746	924	684	724	866	856	1034	1002	724	719
Pde6h	1	0	0	0	0	0	1	0	0	0	1	0
Pde6g	3	3	3	0	2	0	1	0	0	0	0	0
Pde6d	174	159	62	52	48	38	260	208	270	235	287	332
Pde6c	0	0	0	0	0	0	0	0	0	0	0	0
Pde6b	1	0	1	0	0	0	2	2	0	0	0	1
